"Kommune","Sublevel Wasserwerk / Stadtteile","Wasserabgabe 2017","Datum Probenahme","Trübung","Wassertemperatur","Elektr. Leitfähigkeit","PH-Wert","G.-härte mmol/l","G.-härte °dH","Härtebereich","Natrium","Kalium","Calcium","Magenisum","Mangan","Ammonium","Nitrat","Sulfat","Chlorid","Fluorid","Details"
"Berg","Hainau",11044,11.09.18,"<0,1",19,445,"8,05","1,9",11,"mittel","7,2","1,3",66,"9,9","<0,005","<0,05",33,22,22,"<0,15",
"Bettendorf","Bettendorf",12556,11.09.18,"<0,1",19,409,"8,04","1,7",10,"mittel",18,"1,6",55,11,"<0,005","<0,05",18,13,15,"0,23",
"Bogel","Bogel",47151,11.09.18,"<0,1",16,721,"7,87","2,2",13,"mittel",36,"4,9",72,14,"<0,005","<0,05",15,49,75,"0,25",
"Buch","Nast.-Heide",21838,11.09.18,"0,8",16,577,"8,1","1,9",11,"mittel",31,"4,6",56,11,"<0,005","<0,05",15,44,67,"<0,15",
"Diethardt","Diethardt",9094,11.09.18,"0,2",17,570,"8,1","1,4","8,4","mittel","6,5","1,5",35,15,"<0,005","<0,05",33,25,16,"<0,15",
"Ehr","Hainau",2623,11.09.18,"<0,1",19,445,"8,05","1,9",11,"mittel","7,2","1,3",66,"9,9","<0,005","<0,05",33,22,22,"<0,15",
"Endlichhofen","Bogel",12968,11.09.18,"<0,1",16,721,"7,87","2,2",13,"mittel",36,"4,9",72,14,"<0,005","<0,05",15,49,75,"0,25",
"Eschbach","Gemmerich",6868,11.09.18,"<0,1",20,376,8,"1,6","9,3","mittel","8,5","1,3",42,14,"<0,005","<0,05",12,27,16,"<0,15",
"Gemmerich","Gemmerich",20497,11.09.18,"<0,1",20,376,8,"1,6","9,3","mittel","8,5","1,3",42,14,"<0,005","<0,05",12,27,16,"<0,15",
"Hainau","Hainau",7330,11.09.18,"<0,1",19,445,"8,05","1,9",11,"mittel","7,2","1,3",66,"9,9","<0,005","<0,05",33,22,22,"<0,15",
"Himmighofen","Kasdorf",12118,11.09.18,"<0,1",16,376,8,"2,2",13,"mittel","5,7","2,2",59,18,"<0,005","<0,05",31,16,18,"<0,15",
"Holzhausen","Holzhausen",59232,11.09.18,"0,3",16,659,8,"2,2",13,"mittel",29,"4,2",69,17,"<0,005","<0,05",22,47,66,"0,21",
"Hunzel","Hunzel",9017,11.09.18,"<0,1",18,387,"7,9","1,7",10,"mittel","6,2","1,6",38,21,"<0,005","<0,05",22,18,13,"<0,15",
"Kasdorf","Kasdorf",9251,11.09.18,"<0,1",16,376,8,"2,2",13,"mittel","5,7","2,2",59,18,"<0,005","<0,05",31,16,18,"<0,15",
"Kehlbach","Hainau",5774,11.09.18,"<0,1",19,445,"8,05","1,9",11,"mittel","7,2","1,3",66,"9,9","<0,005","<0,05",33,22,22,"<0,15",
"Lautert","Lautert",11119,11.09.18,"<0,1",16,465,"8,08","1,5","8,8","mittel",21,"3,2",46,10,"<0,005","<0,05",27,33,43,"0,16",
"Lipporn","Welterod",11033,11.09.18,"<0,1",19,375,"8,4","1,7","9,9","mittel",13,"1,6",39,19,"<0,005","<0,05",13,27,34,"0,16",
"Marienfels","Hainau",13051,11.09.18,"<0,1",19,445,"8,05","1,9",11,"mittel","7,2","1,3",66,"9,9","<0,005","<0,05",33,22,22,"<0,15",
"Miehlen","Miehlen",29747,11.09.18,"<0,1",19,373,"7,99","1,7","9,7","mittel","6,8","1,6",39,18,"<0,005","<0,05",6,12,11,"<0,15",
"Miehlen","Hainau",69411,11.09.18,"<0,1",19,445,"8,05","1,9",11,"mittel","7,2","1,3",66,"9,9","<0,005","<0,05",33,22,22,"<0,15",
"Nastätten","Dauborn",101957,11.09.18,"<0,1",16,659,8,"1,7",10,"mittel",31,"4,6","55,2",11,"<0,005","<0,05",15,48,67,"0,24",
"Nastätten","Heide",83420,11.09.18,"0,8",16,577,"8,1","1,9",11,"mittel",31,"4,6",56,11,"<0,005","<0,05",15,44,67,"<0,15",
"Niederbachheim","Hainau",8481,11.09.18,"<0,1",19,445,"8,05","1,9",11,"mittel","7,2","1,3",66,"9,9","<0,005","<0,05",33,22,22,"<0,15",
"Niederwallmenach","Lautert",46570,11.09.18,"<0,1",16,465,"8,08","1,5","8,8","mittel",21,"3,2",46,10,"<0,005","<0,05",27,33,43,"0,16",
"Oberbachheim","Hainau",10801,11.09.18,"<0,1",19,445,"8,05","1,9",11,"mittel","7,2","1,3",66,"9,9","<0,005","<0,05",33,22,22,"<0,15",
"Obertiefenbach","Holzhausen",18701,11.09.18,"0,3",16,659,8,"2,2",13,"mittel",29,"4,2",69,17,"<0,005","<0,05",22,47,66,"0,21",
"Oberwallmenach","Lautert",7034,11.09.18,0,16,465,"8,08","1,5","8,8","mittel",21,"3,2",46,10,"<0,005","<0,05",27,33,43,"0,16",
"Oelsberg","Nast.-Daub.",17991,11.09.18,"<0,1",16,659,8,"1,7",10,"mittel",31,"4,6","55,2",11,"<0,005","<0,05",15,48,67,"0,24",
"Rettershain","Lautert",15041,11.09.18,"<0,1",16,465,"8,08","1,5","8,8","mittel",21,"3,2",46,10,"<0,005","<0,05",27,33,43,"0,16",
"Ruppertshofen","Bogel",14059,11.09.18,"<0,1",16,721,"7,87","2,2",13,"mittel",36,"4,9",72,14,"<0,005","<0,05",15,49,75,"0,25",
"Strüth","Welterod",11747,11.09.18,"<0,1",19,375,"8,4","1,7","9,9","mittel",13,"1,6",39,19,"<0,005","<0,05",13,27,34,"0,16",
"Weidenbach","Welterod",3433,11.09.18,"<0,1",19,375,"8,4","1,7","9,9","mittel",13,"1,6",39,19,"<0,005","<0,05",13,27,34,"0,16",
"Welterod","Welterod",19924,11.09.18,"<0,1",19,375,"8,4","1,7","9,9","mittel",13,"1,6",39,19,"<0,005","<0,05",13,27,34,"0,16",
"Winterwerb","Gemmerich",5920,11.09.18,"<0,1",20,376,8,"1,6","9,3","mittel","8,5","1,3",42,14,"<0,005","<0,05",12,27,16,"<0,15",
